"period","paid","percentChangePerSecond","subperiods","numGroups","excludeSelf","payoffFunction","Rr","Rp","Rs","Pr","Pp","Ps","Sr","Sp","Ss","min","max","selector"
1,"TRUE",0.5,0,1,"TRUE","matrix3x3",18,12,96,60,18,12,12,96,18,12,96,"simplex"
2,"TRUE","NaN",4,1,"TRUE","matrix3x3",18,12,96,60,18,12,12,96,18,12,96,"simplex"
3,"TRUE",0.1,0,1,"TRUE","matrix3x3",18,12,96,60,18,12,12,96,18,12,96,"simplex"
4,"TRUE",0.1,0,1,"TRUE","matrix3x3",36,24,96,96,36,24,24,96,36,24,96,"simplex"
5,"TRUE",0.1,0,1,"TRUE","matrix3x3",60,0,72,72,60,36,0,72,60,0,72,"simplex"
6,"TRUE",1,10,1,"TRUE","matrix3x3",36,24,96,96,36,24,24,96,36,24,96,"simplex"
7,"TRUE",1,20,1,"TRUE","matrix3x3",60,0,72,72,60,36,0,72,60,0,72,"simplex"
8,"TRUE",1,30,1,"TRUE","matrix3x3",36,24,96,96,36,24,24,96,36,24,96,"simplex"
9,"TRUE",1,60,1,"TRUE","matrix3x3",60,0,72,72,60,36,0,72,60,0,72,"simplex"
10,"TRUE",1,0,1,"TRUE","matrix3x3",60,0,72,72,60,36,0,72,60,0,72,"simplex"
